Version,Post_Variable,Feature,Mutual_Information,Abs_Pearson,Combined_Score,Prevalencia_Post
target_f_predictibilidad_maxima,target,mes,0.001510999807544433,0.005272504363923815,0.0026394511744582475,0.1943
target_f_predictibilidad_maxima,target,Alérgeno_contacto_hospitalario,0.0006735941479318885,0.007115445101329335,0.0026061494339511223,0.1943
target_f_predictibilidad_maxima,target,Dx Preoperatorio Code_Y,0.00011302988056582919,0.008020797482200703,0.002485360161056291,0.1943
target_f_predictibilidad_maxima,target,Anestesia previa_topica,0.0021698370171654435,0.003211629743745162,0.0024823748351393586,0.1943
target_f_predictibilidad_maxima,target,Apertura Oral_encoded,0.0,0.008184617372249594,0.002455385211674878,0.1943
target_f_predictibilidad_maxima,target,Antecedentes quirúrgicos Code_M,0.0011951134858223522,0.00471413140797772,0.0022508188624689625,0.1943
target_f_predictibilidad_maxima,target,Tipo de anestesia propuesta_bloqueo iv,0.00012519040606284726,0.007182036668609,0.002242244284826693,0.1943
target_f_predictibilidad_maxima,target,Antecedentes quirúrgicos Code_G,0.001731973885500615,0.003398159274169276,0.0022318295021012133,0.1943
target_f_predictibilidad_maxima,target,Antecedentes quirúrgicos Code_E,0.0008920414307496127,0.00528272829902802,0.002209247491233135,0.1943
target_f_predictibilidad_maxima,target,Antecedentes quirúrgicos Code_T,0.0,0.007143824695299382,0.0021431474085898145,0.1943
target_f_predictibilidad_maxima,target,Alérgeno_med_antiinfecciosos,0.0028948460817139754,9.336144155971341e-05,0.0020544006896676967,0.1943
target_f_predictibilidad_maxima,target,Procedimiento propuesto Code_B,0.0,0.006830834190263348,0.002049250257079004,0.1943
target_f_predictibilidad_maxima,target,Alérgeno_med_anestesia_y_relajantes,0.00031868786285005335,0.005998157345564365,0.002022528707664347,0.1943
target_f_predictibilidad_maxima,target,Color de Piel_palidez,0.0007359096472068227,0.004870225106365897,0.001976204284954545,0.1943
target_f_predictibilidad_maxima,target,Dx Preoperatorio Code_N,0.0,0.006404869789016439,0.0019214609367049316,0.1943
target_f_predictibilidad_maxima,target,Antecedentes quirúrgicos Code_J,0.0005408552777208531,0.005067130768138961,0.0018987379248462854,0.1943
target_f_predictibilidad_maxima,target,Frecuencia Respiratoria,0.0,0.00600276379093406,0.001800829137280218,0.1943
target_f_predictibilidad_maxima,target,Alérgeno_med_neuro_psiquiatria,0.0014856732790375915,0.00239572309440142,0.00175868822364674,0.1943
target_f_predictibilidad_maxima,target,Dx Preoperatorio Code_X,0.0010701859611075282,0.0032116297437451793,0.0017126190958988235,0.1943
target_f_predictibilidad_maxima,target,Alérgeno_onco_inmuno_vacunas,0.0,0.005651722983487545,0.0016955168950462637,0.1943
target_f_predictibilidad_maxima,target,Antecedentes quirúrgicos Code_H,0.0,0.0056164423309768225,0.0016849326992930467,0.1943
target_f_predictibilidad_maxima,target,Antecedentes cardiovasculares_icc,0.0,0.005615767813169668,0.0016847303439509003,0.1943
target_f_predictibilidad_maxima,target,Anestesia previa_regional,0.0009954537215017822,0.00323626092248254,0.0016676958817960095,0.1943
target_f_predictibilidad_maxima,target,Antecedentes quirúrgicos Code_P,0.0012628837352901545,0.0025539764983440938,0.0016502115642063361,0.1943
target_f_predictibilidad_maxima,target,Grupo Sanguíneo_AB,0.0,0.00533394870170854,0.0016001846105125619,0.1943
target_f_predictibilidad_maxima,target,Antecedentes anestésicos,0.0,0.005008861422221439,0.0015026584266664316,0.1943
target_f_predictibilidad_maxima,target,Antecedentes quirúrgicos Code_S,0.001774708301794714,0.0008185011498559215,0.0014878461562130762,0.1943
target_f_predictibilidad_maxima,target,Procedimiento propuesto Code_C,8.391502009819085e-05,0.004688242528614507,0.0014652132726530856,0.1943
target_f_predictibilidad_maxima,target,Antecedentes quirúrgicos Code_Q,0.0016798546498351108,0.0006864024728409625,0.0013818189967368662,0.1943
target_f_predictibilidad_maxima,target,Angina_encoded,0.0,0.0045420274519320375,0.0013626082355796111,0.1943
target_f_predictibilidad_maxima,target,Atención_encoded,0.0,0.004486808835028704,0.0013460426505086112,0.1943
target_f_predictibilidad_maxima,target,Color de Piel_cianosis,0.001102225495258402,0.0018398271512648473,0.0013235059920603356,0.1943
target_f_predictibilidad_maxima,target,Hora_decimal,0.001633462756655657,0.000546165428707059,0.0013072735582710774,0.1943
target_f_predictibilidad_maxima,target,Anestesia previa_epidural,0.0,0.004346172109205293,0.0013038516327615879,0.1943
target_f_predictibilidad_maxima,target,Dx Preoperatorio Code_nan,0.001415440425778014,0.0009097175923912615,0.0012637235757619882,0.1943
target_f_predictibilidad_maxima,target,Sistema cardiovascular_pulso anormal,0.0,0.0041153868107682914,0.0012346160432304873,0.1943
target_f_predictibilidad_maxima,target,Antecedente respiratorios_negativoneumonia,0.0,0.003978718566763389,0.0011936155700290167,0.1943
target_f_predictibilidad_maxima,target,Alérgeno_med_opioides,0.0012329317446282406,0.0008918734417940794,0.0011306142537779922,0.1943
target_f_predictibilidad_maxima,target,Alérgeno_ambiental_animales,0.0,0.003421295285549458,0.0010263885856648374,0.1943
target_f_predictibilidad_maxima,target,Procedimiento propuesto Code_K,0.0004927375548773316,0.0022512452526757846,0.0010202898642168675,0.1943
target_f_predictibilidad_maxima,target,Sistema Respiratorio_otro,0.0,0.003187219369701127,0.0009561658109103382,0.1943
target_f_predictibilidad_maxima,target,Antecedentes cardiovasculares_arritmias,5.7526498494775424e-05,0.0029580694783304866,0.0009276893924454887,0.1943
target_f_predictibilidad_maxima,target,Dx Preoperatorio Code_I,0.0,0.002978118623934282,0.0008934355871802846,0.1943
target_f_predictibilidad_maxima,target,Dx Preoperatorio Code_W,0.0006598726613820105,0.0013826387812979,0.0008767024973567773,0.1943
target_f_predictibilidad_maxima,target,Antecedente respiratorios_negativo,0.0,0.002776078686860733,0.0008328236060582199,0.1943
target_f_predictibilidad_maxima,target,Sistema cardiovascular_ingurgitacion yugular,0.0,0.0025539764983440747,0.0007661929495032224,0.1943
